# Survey export from Compass
# Well: Anderson 4H
# Operator: Sample Operator
# Date: 2026-04-25
# Depth Unit: m
# Pre-computed columns from upstream Compass calc
MD,Inc,Azi,TVD,North,East,DLS
0,0,0,0,0,0,0
200,0.3,180,200,-0.52,0,0.05
400,0.6,180,399.99,-1.57,0,0.05
600,1.0,180,599.97,-3.14,0,0.06
800,2.0,180,799.91,-5.76,0,0.15
1000,5.0,180,999.62,-12.04,0,0.45
1200,15.0,180,1196.99,-37.48,0,1.50
1400,40.0,180,1382.97,-114.76,0,3.75
1600,70.0,180,1530.32,-274.45,0,4.50
1800,89.0,180,1597.95,-471.78,0,2.85
2000,90.0,180,1601.45,-671.62,0,0.15
